transaction_id,contract_id,client_id,payment_amt,payment_code,transaction_datetime,total_amount_paid_before,avg_amount_per_transaction_before,num_payments_before,num_contracts_before,num_defaults_before,entity_type,entity_year_established,entity_age
8322,927,1,5050.04,PAYMENT,2017-11-22 17:08:16,0.0,0.0,0,0,0,Other Partnership,2006,19
8323,927,1,50.0,PAYMENT,2017-11-22 17:08:16,5050.04,5050.04,1,1,0,Other Partnership,2006,19
8484,927,1,466.67,PAYMENT,2017-11-26 17:08:15,5100.04,2550.02,2,1,0,Other Partnership,2006,19
8485,927,1,66.66,PAYMENT,2017-11-26 17:08:15,5566.71,1855.57,3,1,0,Other Partnership,2006,19
10125,927,1,416.67,PAYMENT,2017-12-21 17:08:22,5633.37,1408.34,4,1,0,Other Partnership,2006,19
10126,927,1,66.66,PAYMENT,2017-12-21 17:08:22,6050.04,1210.01,5,1,0,Other Partnership,2006,19
13777,927,1,416.67,PAYMENT,2018-02-22 17:08:23,6116.7,1019.45,6,1,0,Other Partnership,2006,19
13778,927,1,66.66,PAYMENT,2018-02-22 17:08:23,6533.37,933.34,7,1,0,Other Partnership,2006,19
15697,927,1,416.67,PAYMENT,2018-03-22 17:08:24,6600.03,825.0,8,1,0,Other Partnership,2006,19
15698,927,1,66.66,PAYMENT,2018-03-22 17:08:24,7016.7,779.63,9,1,0,Other Partnership,2006,19
17649,927,1,416.67,PAYMENT,2018-04-22 18:08:31,7083.36,708.34,10,1,0,Other Partnership,2006,19
17650,927,1,66.66,PAYMENT,2018-04-22 18:08:31,7500.03,681.82,11,1,0,Other Partnership,2006,19
20174,927,1,416.67,PAYMENT,2018-05-22 18:08:31,7566.69,630.56,12,1,0,Other Partnership,2006,19
20175,927,1,66.66,PAYMENT,2018-05-22 18:08:31,7983.36,614.1,13,1,0,Other Partnership,2006,19
22767,927,1,416.67,PAYMENT,2018-06-24 18:08:44,8050.02,575.0,14,1,0,Other Partnership,2006,19
22768,927,1,66.66,PAYMENT,2018-06-24 18:08:44,8466.69,564.45,15,1,0,Other Partnership,2006,19
25167,927,1,416.67,PAYMENT,2018-07-22 18:08:07,8533.35,533.33,16,1,0,Other Partnership,2006,19
25168,927,1,66.66,PAYMENT,2018-07-22 18:08:07,8950.02,526.47,17,1,0,Other Partnership,2006,19
19822,1368,2,20050.04,PAYMENT,2018-05-20 18:08:30,0.0,0.0,0,0,0,Australian Private Company,2001,24
19823,1368,2,50.0,PAYMENT,2018-05-20 18:08:30,20050.04,20050.04,1,1,0,Australian Private Company,2001,24
20288,1368,2,1716.67,PAYMENT,2018-05-23 18:08:32,20100.04,10050.02,2,1,0,Australian Private Company,2001,24
20289,1368,2,266.66,PAYMENT,2018-05-23 18:08:32,21816.71,7272.24,3,1,0,Australian Private Company,2001,24
22569,1368,2,1666.67,PAYMENT,2018-06-20 18:08:46,22083.37,5520.84,4,1,0,Australian Private Company,2001,24
22570,1368,2,266.66,PAYMENT,2018-06-20 18:08:46,23750.04,4750.01,5,1,0,Australian Private Company,2001,24
25301,1368,2,1666.67,PAYMENT,2018-07-22 18:08:11,24016.7,4002.78,6,1,0,Australian Private Company,2001,24
25302,1368,2,266.66,PAYMENT,2018-07-22 18:08:11,25683.37,3669.05,7,1,0,Australian Private Company,2001,24
346,27,3,500.0,PAYMENT,2017-07-06 18:08:10,0.0,0.0,0,0,0,Australian Private Company,2002,23
347,27,3,65.0,PAYMENT,2017-07-06 18:08:10,500.0,500.0,1,1,0,Australian Private Company,2002,23
8381,929,3,2050.04,PAYMENT,2017-11-23 17:08:15,565.0,282.5,2,1,0,Australian Private Company,2002,23
8382,929,3,50.0,PAYMENT,2017-11-23 17:08:15,2615.04,871.68,3,2,0,Australian Private Company,2002,23
8452,929,3,216.67,PAYMENT,2017-11-26 17:08:14,2665.04,666.26,4,2,0,Australian Private Company,2002,23
8453,929,3,26.66,PAYMENT,2017-11-26 17:08:14,2881.71,576.34,5,2,0,Australian Private Company,2002,23
10094,929,3,166.67,PAYMENT,2017-12-21 17:08:21,2908.37,484.73,6,2,0,Australian Private Company,2002,23
10095,929,3,26.66,PAYMENT,2017-12-21 17:08:21,3075.04,439.29,7,2,0,Australian Private Company,2002,23
11885,929,3,166.67,PAYMENT,2018-01-23 17:08:20,3101.7,387.71,8,2,0,Australian Private Company,2002,23
11886,929,3,26.66,PAYMENT,2018-01-23 17:08:20,3268.37,363.15,9,2,0,Australian Private Company,2002,23
13835,929,3,166.67,PAYMENT,2018-02-25 17:08:22,3295.03,329.5,10,2,0,Australian Private Company,2002,23
13836,929,3,26.66,PAYMENT,2018-02-25 17:08:22,3461.7,314.7,11,2,0,Australian Private Company,2002,23
15767,929,3,166.67,PAYMENT,2018-03-25 17:08:27,3488.36,290.7,12,2,0,Australian Private Company,2002,23
15768,929,3,26.66,PAYMENT,2018-03-25 17:08:27,3655.03,281.16,13,2,0,Australian Private Company,2002,23
17839,929,3,166.67,PAYMENT,2018-04-23 18:08:28,3681.69,262.98,14,2,0,Australian Private Company,2002,23
17840,929,3,26.66,PAYMENT,2018-04-23 18:08:28,3848.36,256.56,15,2,0,Australian Private Company,2002,23
20240,929,3,166.67,PAYMENT,2018-05-23 18:08:31,3875.02,242.19,16,2,0,Australian Private Company,2002,23
20241,929,3,26.66,PAYMENT,2018-05-23 18:08:31,4041.69,237.75,17,2,0,Australian Private Company,2002,23
22749,929,3,166.67,PAYMENT,2018-06-24 18:08:44,4068.35,226.02,18,2,0,Australian Private Company,2002,23
22750,929,3,26.66,PAYMENT,2018-06-24 18:08:44,4235.02,222.9,19,2,0,Australian Private Company,2002,23
5050,796,4,4049.96,PAYMENT,2017-09-25 18:08:10,0.0,0.0,0,0,0,Australian Private Company,2007,18
5051,796,4,50.0,PAYMENT,2017-09-25 18:08:11,4049.96,4049.96,1,1,0,Australian Private Company,2007,18
5231,796,4,383.33,PAYMENT,2017-09-28 18:08:10,4099.96,2049.98,2,1,0,Australian Private Company,2007,18
5232,796,4,53.33,PAYMENT,2017-09-28 18:08:10,4483.29,1494.43,3,1,0,Australian Private Company,2007,18
6708,796,4,333.33,PAYMENT,2017-10-25 17:08:14,4536.62,1134.16,4,1,0,Australian Private Company,2007,18
6709,796,4,53.33,PAYMENT,2017-10-25 17:08:14,4869.95,973.99,5,1,0,Australian Private Company,2007,18
8456,796,4,333.33,PAYMENT,2017-11-26 17:08:14,4923.28,820.55,6,1,0,Australian Private Company,2007,18
8457,796,4,53.33,PAYMENT,2017-11-26 17:08:14,5256.61,750.94,7,1,0,Australian Private Company,2007,18
10204,796,4,333.33,PAYMENT,2017-12-26 17:08:15,5309.94,663.74,8,1,0,Australian Private Company,2007,18
10205,796,4,53.33,PAYMENT,2017-12-26 17:08:15,5643.27,627.03,9,1,0,Australian Private Company,2007,18
11951,796,4,333.33,PAYMENT,2018-01-24 17:08:21,5696.6,569.66,10,1,0,Australian Private Company,2007,18
11952,796,4,53.33,PAYMENT,2018-01-24 17:08:21,6029.93,548.18,11,1,0,Australian Private Company,2007,18
13845,796,4,333.33,PAYMENT,2018-02-25 17:08:22,6083.26,506.94,12,1,0,Australian Private Company,2007,18
13846,796,4,53.33,PAYMENT,2018-02-25 17:08:22,6416.59,493.58,13,1,0,Australian Private Company,2007,18
15775,796,4,333.33,PAYMENT,2018-03-25 17:08:27,6469.92,462.14,14,1,0,Australian Private Company,2007,18
15776,796,4,53.33,PAYMENT,2018-03-25 17:08:27,6803.25,453.55,15,1,0,Australian Private Company,2007,18
17973,796,4,333.33,PAYMENT,2018-04-25 18:08:30,6856.58,428.54,16,1,0,Australian Private Company,2007,18
17974,796,4,53.33,PAYMENT,2018-04-25 18:08:30,7189.91,422.94,17,1,0,Australian Private Company,2007,18
20417,796,4,333.33,PAYMENT,2018-05-27 18:08:32,7243.24,402.4,18,1,0,Australian Private Company,2007,18
20418,796,4,53.33,PAYMENT,2018-05-27 18:08:32,7576.57,398.77,19,1,0,Australian Private Company,2007,18
22941,796,4,333.33,PAYMENT,2018-06-25 18:08:44,7629.9,381.5,20,1,0,Australian Private Company,2007,18
